Month,NonRecreationVisitors,RecreationVisitors,UnitCode,UnitName,Year
1,9492,66336,ROMO,Rocky Mountain NP,1994
2,8488,46474,ROMO,Rocky Mountain NP,1994
3,7359,64501,ROMO,Rocky Mountain NP,1994
4,5214,73383,ROMO,Rocky Mountain NP,1994
5,12081,140442,ROMO,Rocky Mountain NP,1994
6,16073,454741,ROMO,Rocky Mountain NP,1994
7,26679,637208,ROMO,Rocky Mountain NP,1994
8,38247,691826,ROMO,Rocky Mountain NP,1994
9,35752,486600,ROMO,Rocky Mountain NP,1994
10,12793,200637,ROMO,Rocky Mountain NP,1994
11,6187,65256,ROMO,Rocky Mountain NP,1994
12,6880,41046,ROMO,Rocky Mountain NP,1994
1,6110,72264,ROMO,Rocky Mountain NP,1995
2,6110,55526,ROMO,Rocky Mountain NP,1995
3,4300,62216,ROMO,Rocky Mountain NP,1995
4,3040,63517,ROMO,Rocky Mountain NP,1995
5,6820,107774,ROMO,Rocky Mountain NP,1995
6,9309,401034,ROMO,Rocky Mountain NP,1995
7,15637,643304,ROMO,Rocky Mountain NP,1995
8,35836,718453,ROMO,Rocky Mountain NP,1995
9,18281,404990,ROMO,Rocky Mountain NP,1995
10,11162,237056,ROMO,Rocky Mountain NP,1995
11,7043,69520,ROMO,Rocky Mountain NP,1995
12,6630,42515,ROMO,Rocky Mountain NP,1995
1,9408,50604,ROMO,Rocky Mountain NP,1996
2,8293,56462,ROMO,Rocky Mountain NP,1996
3,7368,69517,ROMO,Rocky Mountain NP,1996
4,7317,73462,ROMO,Rocky Mountain NP,1996
5,13786,177831,ROMO,Rocky Mountain NP,1996
6,24138,442730,ROMO,Rocky Mountain NP,1996
7,34807,669291,ROMO,Rocky Mountain NP,1996
8,36317,658613,ROMO,Rocky Mountain NP,1996
9,26050,405585,ROMO,Rocky Mountain NP,1996
10,12166,194353,ROMO,Rocky Mountain NP,1996
11,5904,61799,ROMO,Rocky Mountain NP,1996
12,6476,63508,ROMO,Rocky Mountain NP,1996
1,9041,60995,ROMO,Rocky Mountain NP,1997
2,5912,55496,ROMO,Rocky Mountain NP,1997
3,10246,82957,ROMO,Rocky Mountain NP,1997
4,4570,54619,ROMO,Rocky Mountain NP,1997
5,10020,182301,ROMO,Rocky Mountain NP,1997
6,16702,477849,ROMO,Rocky Mountain NP,1997
7,27457,672256,ROMO,Rocky Mountain NP,1997
8,32563,635015,ROMO,Rocky Mountain NP,1997
