Month,NonRecreationVisitors,RecreationVisitors,UnitCode,UnitName,Year
4,12613401,20418613,Parkwide,All NPS Park Units,2003
5,12957627,24731297,Parkwide,All NPS Park Units,2003
6,12827721,31340581,Parkwide,All NPS Park Units,2003
7,14152341,39805110,Parkwide,All NPS Park Units,2003
8,13110380,35708172,Parkwide,All NPS Park Units,2003
9,12120689,24931415,Parkwide,All NPS Park Units,2003
10,12850623,22999234,Parkwide,All NPS Park Units,2003
11,12174013,15987797,Parkwide,All NPS Park Units,2003
12,12129100,12004660,Parkwide,All NPS Park Units,2003
1,11370682,11115405,Parkwide,All NPS Park Units,2004
2,11416396,12280969,Parkwide,All NPS Park Units,2004
3,12622027,17311525,Parkwide,All NPS Park Units,2004
4,12741466,22317013,Parkwide,All NPS Park Units,2004
5,12790088,27524688,Parkwide,All NPS Park Units,2004
6,13403189,32884966,Parkwide,All NPS Park Units,2004
7,13560724,40022705,Parkwide,All NPS Park Units,2004
8,14114670,35868483,Parkwide,All NPS Park Units,2004
9,12530770,26230012,Parkwide,All NPS Park Units,2004
10,13574998,23453877,Parkwide,All NPS Park Units,2004
11,11928054,15699214,Parkwide,All NPS Park Units,2004
12,10745347,12199480,Parkwide,All NPS Park Units,2004
1,11054884,11366715,Parkwide,All NPS Park Units,2005
2,11040043,12031201,Parkwide,All NPS Park Units,2005
3,12891409,18246507,Parkwide,All NPS Park Units,2005
4,12366693,22199184,Parkwide,All NPS Park Units,2005
5,12915565,26350699,Parkwide,All NPS Park Units,2005
6,13434993,32638916,Parkwide,All NPS Park Units,2005
7,13668169,40423529,Parkwide,All NPS Park Units,2005
8,12886605,34398019,Parkwide,All NPS Park Units,2005
9,12389904,25338210,Parkwide,All NPS Park Units,2005
10,12800050,22006728,Parkwide,All NPS Park Units,2005
11,11909890,16411766,Parkwide,All NPS Park Units,2005
12,12540242,12077277,Parkwide,All NPS Park Units,2005
1,12750803,11714667,Parkwide,All NPS Park Units,2006
2,12223161,11960476,Parkwide,All NPS Park Units,2006
3,13814333,18355290,Parkwide,All NPS Park Units,2006
4,13881191,24133800,Parkwide,All NPS Park Units,2006
5,14482684,26067774,Parkwide,All NPS Park Units,2006
6,14307475,30847147,Parkwide,All NPS Park Units,2006
7,14884702,38465721,Parkwide,All NPS Park Units,2006
8,14384861,33510779,Parkwide,All NPS Park Units,2006
9,13765395,25820200,Parkwide,All NPS Park Units,2006
10,14165884,23010760,Parkwide,All NPS Park Units,2006
11,13814528,16115170,Parkwide,All NPS Park Units,2006
12,13293187,12622196,Parkwide,All NPS Park Units,2006
1,13047928,11428428,Parkwide,All NPS Park Units,2007
2,11826192,11099328,Parkwide,All NPS Park Units,2007
3,13544594,18515320,Parkwide,All NPS Park Units,2007
4,13715716,22759608,Parkwide,All NPS Park Units,2007
5,14651573,26800674,Parkwide,All NPS Park Units,2007
6,14560532,32596152,Parkwide,All NPS Park Units,2007
7,14727289,39379994,Parkwide,All NPS Park Units,2007
8,14333738,34735792,Parkwide,All NPS Park Units,2007
9,13696811,26429060,Parkwide,All NPS Park Units,2007
10,13715223,23030731,Parkwide,All NPS Park Units,2007
11,12957364,16345623,Parkwide,All NPS Park Units,2007
12,12979336,12460837,Parkwide,All NPS Park Units,2007
1,12844328,10860124,Parkwide,All NPS Park Units,2008
2,12095535,11897979,Parkwide,All NPS Park Units,2008
3,13294893,18721274,Parkwide,All NPS Park Units,2008
4,13469617,22660741,Parkwide,All NPS Park Units,2008
5,14229194,26507720,Parkwide,All NPS Park Units,2008
6,13671108,32632117,Parkwide,All NPS Park Units,2008
7,14451852,38336767,Parkwide,All NPS Park Units,2008
8,14342109,35761780,Parkwide,All NPS Park Units,2008
9,13346060,25182007,Parkwide,All NPS Park Units,2008
10,13609687,23361770,Parkwide,All NPS Park Units,2008
11,12999422,16513083,Parkwide,All NPS Park Units,2008
12,13477186,12417587,Parkwide,All NPS Park Units,2008
1,12451770,13406200,Parkwide,All NPS Park Units,2009
2,11756703,11873185,Parkwide,All NPS Park Units,2009
3,13538862,17851433,Parkwide,All NPS Park Units,2009
4,13457700,23775560,Parkwide,All NPS Park Units,2009
5,13986273,27646650,Parkwide,All NPS Park Units,2009
6,13713917,33313392,Parkwide,All NPS Park Units,2009
7,14854545,40931612,Parkwide,All NPS Park Units,2009
8,14131246,36987107,Parkwide,All NPS Park Units,2009
9,13610379,28126344,Parkwide,All NPS Park Units,2009
10,13613800,23263230,Parkwide,All NPS Park Units,2009
11,12755153,16514140,Parkwide,All NPS Park Units,2009
12,12888390,11891088,Parkwide,All NPS Park Units,2009
1,12046304,10309869,Parkwide,All NPS Park Units,2010
2,10702397,10169103,Parkwide,All NPS Park Units,2010
3,13005097,17763525,Parkwide,All NPS Park Units,2010
4,12725619,24139936,Parkwide,All NPS Park Units,2010
5,13221027,27259363,Parkwide,All NPS Park Units,2010
6,13771205,33991005,Parkwide,All NPS Park Units,2010
7,13715962,41038809,Parkwide,All NPS Park Units,2010
8,13652457,37279671,Parkwide,All NPS Park Units,2010
9,12970531,28004561,Parkwide,All NPS Park Units,2010
10,12872621,24185670,Parkwide,All NPS Park Units,2010
11,12212822,16228586,Parkwide,All NPS Park Units,2010
12,12323006,10933671,Parkwide,All NPS Park Units,2010
1,11911347,10712182,Parkwide,All NPS Park Units,2011
2,10992617,11703480,Parkwide,All NPS Park Units,2011
3,13235646,17388421,Parkwide,All NPS Park Units,2011
4,12528514,21985543,Parkwide,All NPS Park Units,2011
5,13079877,26290590,Parkwide,All NPS Park Units,2011
6,13201979,33472819,Parkwide,All NPS Park Units,2011
7,14168331,41204774,Parkwide,All NPS Park Units,2011
8,13694827,35499706,Parkwide,All NPS Park Units,2011
9,12826625,27240218,Parkwide,All NPS Park Units,2011
10,12876342,24192153,Parkwide,All NPS Park Units,2011
11,12378375,16288789,Parkwide,All NPS Park Units,2011
